predicate,isInUMLS,weight
associated with,1,5692.4337
risk of,1,5667.0566
was,1,5202.5292
associated,1,3580.486
at,1,3478.9453
between,1,3422.4995
increased,1,3283.9564
by,1,3279.6223
is a,1,3275.4638
are,1,3265.5134
from,1,3225.7489
on,1,3196.895
was associated with,0,3136.4357
as,1,3121.3186
is associated with,0,3082.0596
have,1,2998.4233
be,1,2993.7815
is,1,2946.5771
had,1,2883.1115
after,1,2865.4233
in patients with,0,2864.891
as well as,0,2830.61
with,1,2771.2255
effects of,1,2762.6683
for,1,2643.4517
compared,1,2489.3256
using,1,2228.5184
including,1,2215.6831
use of,1,2149.7694
history of,1,2069.5782
during,1,2062.0965
used,1,2050.632
found,0,1892.9368
through,1,1775.1302
observed,1,1729.3595
increasing,1,1688.6822
signaling,1,1684.6535
were associated with,0,1674.5793
related,1,1667.0619
identified,1,1649.9274
into,1,1591.1982
included,1,1566.6192
reported,1,1544.0101
reduced,1,1507.5728
presence of,1,1501.7772
decreased,1,1495.2836
over,1,1476.6801
suggest,1,1470.4686
showed,0,1448.962
of obesity on,0,1445.0582
without,1,1412.9693
while,1,1398.818
per,1,1388.9682
performed,1,1335.1348
based,1,1306.529
examined,1,1296.3558
diagnosed,1,1291.965
known,1,1288.529
treated with,1,1287.2258
prevention of,1,1271.4573
treated,1,1267.2366
did,1,1256.3443
of patients with,0,1254.8361
shown,0,1223.7547
developing,0,1213.1156
involved,1,1212.3443
within,1,1208.6882
was a,1,1204.4387
evaluated,1,1196.981
assessed,1,1196.502
include,1,1185.8152
in,1,1183.0912
conducted,0,1180.0394
provide,1,1167.8042
reduce,0,1166.2683
being,1,1134.4264
determine,0,1122.4484
investigated,1,1115.4494
measured,1,1108.4204
increase,1,1103.8993
according,1,1102.5816
considered,1,1097.2399
following,1,1092.3903
aged,1,1083.2184
in women with,0,1065.287
analyzed,1,1061.8113
after adjustment for,0,1061.3907
if,1,1047.025
identify,0,1035.815
assess,1,1011.8278
evaluate,1,1010.9184
developed,0,1008.6438
of,1,989.5964
against,1,984.6551
underwent,0,978.0849
linked,0,974.6499
demonstrated,0,961.6525
defined,1,960.46
review of,1,957.6357
needed,1,953.8106
before,1,939.941
via,1,936.9439
studied,0,935.8073
has been associated with,0,932.8314
found in,1,930.3529
was not associated,0,927.6308
show,1,921.7168
play,1,916.1338
contribute,1,912.0626
change in,1,908.3999
correlated,1,907.3237
of obesity in,0,906.3696
underlying,0,903.3931
examine,0,902.8138
undergoing,0,897.1996
improve,1,894.9225
investigate,1,889.1285
has been shown,0,884.8632
circulating,1,880.0071
evidence for,1,879.8221
evidence of,1,874.0109
suggests,0,865.0093
determined,0,860.6867
revealed,1,859.0985
leading,1,856.7024
since,1,850.2101
obtained,1,849.7249
under,1,843.4462
was significantly associated,0,840.1522
induced,1,837.9857
affect,1,828.8628
improved,1,827.803
adjusted,1,825.1432
estimated,1,820.9178
part of,1,820.827
with risk of,0,819.7992
in terms of,0,814.9032
has been associated,0,813.7225
remains,0,813.7184
collected,1,810.3622
followed,1,806.1972
for patients with,0,787.0399
suggested,0,772.8526
received,1,770.6608
significantly increased,0,770.0715
were included in,0,769.0429
given,1,768.5431
influence,0,767.958
is a major,0,762.816
versus,0,756.1951
promote,1,747.6976
reviewed,1,747.2397
may contribute to,0,742.5835
increases,1,732.2123
prevent,1,731.4482
calculated,1,728.801
need for,1,727.7508
has a,1,724.6527
randomized,1,721.8787
develop,0,706.2656
adjusting,0,693.3467
support,1,689.2129
reducing,1,685.5781
lead,1,683.2735
established,1,682.5633
fasting,1,681.3971
but not in,0,676.8443
aimed,0,676.0431
may be associated,0,673.9931
does,1,672.3995
was observed in,0,669.4672
discuss,0,668.5132
provides,1,665.77
do,1,660.0483
european prospective investigation,0,657.8754
estimate,1,656.8691
confirmed,1,656.6835
in men with,0,651.712
published,1,644.4515
followed by,1,642.2405
have been associated with,0,636.8435
implicated,0,633.4691
growing,0,631.3491
caused by,1,630.1694
characterized,1,629.9597
seen,1,629.9411
help,1,628.3727
absence of,1,627.5395
suggesting,0,623.5882
matched,1,620.8325
provided,1,620.0748
detected,1,616.5101
non-alcoholic fatty liver,1,614.0987
were significantly associated,0,612.6738
plays,1,611.2662
demonstrate,0,608.1443
determined by,1,603.6006
expressed,1,602.8228
discussed,0,598.9695
is known about,0,597.7429
is an important,0,595.5259
appears,0,592.3246
indicated,1,591.8216
occurred,1,586.2784
required,1,585.8056
was positively associated,0,585.4662
aging,1,585.2293
fed,1,580.4229
visceral adipose tissue,1,580.3691
explain,0,576.0886
was defined as,0,562.0577
of cancer in,0,560.7574
described,1,558.4546
like,1,554.6213
completed,1,551.7215
emerging,0,548.7566
review,1,547.7584
presented,1,546.5267
enrolled,0,541.1247
limited,1,538.9228
among women with,0,537.1362
targeting,1,533.7587
caused,0,532.151
proposed,1,531.8362
promotes,0,530.7955
made,0,530.7803
classified,1,530.1673
stratified,1,529.2529
may lead to,0,528.0135
remain,0,527.5334
mediated,1,526.3944
describe,0,524.6842
remained,0,522.4228
receiving,0,520.1481
can be used,0,519.7758
taken,1,519.2003
was inversely associated,0,515.5167
should be considered,0,514.311
selected,0,514.2046
onset of,1,512.0725
report,1,511.2508
resulting,1,510.7881
nonalcoholic fatty liver,1,510.6433
inhibited,1,507.3505
has been reported,0,503.7827
recognized,0,503.4528
among patients with,0,503.2778
controlling,1,503.0308
understanding,1,496.2779
obstructive pulmonary disease,1,489.6128
signalling,1,488.4801
were divided into,0,487.7896
appear,1,487.16
represent,1,486.9147
is involved in,0,483.2969
differ,0,483.1529
reduces,0,482.4612
was found in,0,481.9543
treat,1,480.3086
affected,1,480.0815
is a common,0,477.9043
understood,1,477.6184
of death from,0,476.1765
need,1,471.3297
derived,1,470.7826
linking,0,470.3368
were obtained from,0,470.2342
induce,1,469.8798
tested,1,461.4114
resulted,0,459.7019
combined,1,459.4695
explore,0,456.5878
produced,0,456.306
were treated with,0,455.772
african american women,0,453.5555
predict,0,451.2482
contributes,0,451.137
address,1,450.5549
affects,1,450.3932
decrease,1,449.2519
screening,1,448.7642
in combination with,0,448.3624
occur,1,448.0271
of each,1,447.6477
comparing,0,446.513
recommended,1,443.4454
focused,1,442.8876
recruited,0,442.2732
were observed in,0,441.8864
understand,1,440.888
leads,1,440.7434
expected,1,439.5953
at risk for,0,439.1109
as part of,0,438.6462
present,1,438.2882
regulate,0,435.9745
elevated,1,435.8667
were not associated,0,435.3978
has been linked,0,433.6269
divided,1,432.4419
breastfeeding,1,432.1322
exposed to,1,430.8961
were classified as,0,430.5008
multivariate logistic regression,0,429.7753
led,0,428.5009
high fat diet,1,428.2876
compare,1,425.8813
carried,1,425.0865
cause,1,420.6567
promoting,1,420.008
has been implicated in,0,419.9048
breast,1,419.5301
has been implicated,0,419.0303
eating,1,418.3311
was higher in,0,416.0848
conditional logistic regression,0,415.7311
designed,0,414.6755
study,1,411.3301
except,1,410.494
were diagnosed with,0,409.1063
until,1,409.0518
visceral fat area,0,408.0551
is the first,0,406.4594
for women with,0,404.8755
represents,0,404.0231
occurs,0,403.6654
hypothesized,0,403.4133
confounding,0,402.8913
use,1,402.1778
plays an important,0,401.5536
influenced,0,401.4566
binding,1,401.2172
was assessed by,0,400.004
white adipose tissue,1,399.9126
mean,1,399.8011
predicted,1,399.8011
excluded,1,398.4349
upon,1,398.2949
applied,1,396.3998
epithelial ovarian cancer,1,396.0847
were compared with,0,396.0608
preventing,0,395.6972
of obesity with,0,395.5657
activated,1,395.396
newly diagnosed,1,395.2085
rising,0,395.028
of women with,0,394.5959
living,1,393.3967
improving,1,392.5084
control,1,390.2756
acute lymphoblastic leukemia,1,388.699
was found between,0,387.4508
inhibits,0,385.9338
computed,1,382.9125
regulates,0,381.77
shows,0,380.5438
decreasing,1,380.4688
has been suggested,0,379.5909
noted,0,379.5092
explained,0,379.0332
documented,1,376.8624
explored,0,376.1785
consequence of,1,375.8923
affecting,1,374.8566
fatty acid synthase,1,374.4708
contributing,1,372.6297
induces,0,371.7951
regulating,0,371.791
of death in,0,371.7322
validated,0,371.3336
is characterized by,0,371.1147
focus,1,370.4106
inhibit,0,369.7854
highlight,0,368.1952
involving,1,367.7949
treated for,1,367.6598
was observed for,0,364.4418
in association with,0,363.8504
can lead to,0,362.5931
attributed,0,362.5485
is also associated with,0,362.4626
of leptin in,0,361.9807
identifying,0,361.9788
providing,0,361.523
in comparison with,0,360.982
but not with,0,360.3837
includes,1,359.2868
died,1,359.1438
is an independent,0,358.2245
act,1,357.9697
summarize,0,357.9334
enhance,1,357.0829
indicating,0,354.776
increased by,1,354.2903
may also be,0,353.856
significantly reduced,0,353.8156
was conducted in,0,352.971
alter,0,352.1184
examined the association,0,352.097
increased the risk,0,351.5177
is a significant,0,351.2692
result,1,351.1558
categorized,1,350.2844
modulate,1,349.8171
controlled,1,347.1222
were found in,0,347.0361
was no significant difference,0,346.801
achieved,0,346.7048
thought,1,346.6065
account,1,345.6942
were no significant differences,0,345.5483
taking,0,344.1363
were observed for,0,343.3731
modified,1,342.9611
analysed,0,340.7783
multivariable logistic regression,0,339.8567
polyunsaturated fatty acids,1,338.5003
poorly understood,0,337.7806
regulated,1,336.8215
central nervous system,1,333.8655
make,1,333.7417
peroxisome proliferator-activated receptor,1,332.9133
recorded,0,330.9726
administered,1,330.4773
analyze,0,329.5624
modified by,1,329.0022
secreted,1,328.6155
experienced,0,327.8031
was no difference,0,326.7374
extent of,1,326.1541
addressed,0,324.8733
receive,1,323.6226
exposed,1,323.0818
have been implicated in,0,320.9516
emerged,0,318.7665
for treatment of,0,318.604
above,1,318.2739
were enrolled in,0,317.6292
exist,1,317.4035
requires,0,317.4035
showed that the,0,316.7331
significantly decreased,0,316.5336
containing,1,315.91
modify,1,315.4709
was performed in,0,314.918
vascular endothelial growth,0,314.3057
elucidate,0,314.2059
lost,1,314.143
exhibited,0,314.0337
supports,1,313.5406
focusing,1,311.8022
was observed between,0,311.3071
find,1,310.1802
around,1,308.2515
of bmi on,0,308.053
differentiated,1,306.6843
is an established,0,305.9203
benign prostatic hyperplasia,1,304.0592
occurring,0,303.0273
exists,0,302.5684
were positively associated,0,302.2181
vary,0,299.6717
met,1,299.0748
considering,1,298.2192
of life in,0,297.0636
confirm,1,296.5414
in subjects with,0,296.0407
predicting,0,296.0194
were determined by,0,295.8171
attenuated,1,295.7037
aims,1,295.0883
may not be,0,294.9713
perceived,1,294.9668
warranted,0,294.6526
ranged,0,293.9513
sought,0,293.6324
treating,1,293.2486
establish,1,293.0537
influences,0,292.4842
searched,1,292.3812
is a key,0,292.1706
showing,0,291.9244
consider,1,291.4707
causes,1,291.2679
maintained,1,290.9245
require,0,290.5725
evaluating,0,289.9056
allow,1,289.1055
depending,0,288.8973
altered,1,288.8038
consumed,0,288.6441
major public health,0,288.481
regular physical activity,0,288.43
oral contraceptive use,0,287.0072
were higher in,0,286.5728
below,1,286.0671
define,0,286.0402
inhibiting,1,285.8433
serve,0,285.5859
found that the,0,284.7776
