entity,isInUMLS,weight
breast cancer,1,10630.3076
breast,1,7472.9198
patients,1,7017.7796
bmi,1,6541.1896
women,1,6058.0289
p,1,5878.6154
prostate cancer,1,5197.1137
risk,1,5184.4461
endometrial cancer,1,4964.2491
ci,1,4917.5304
body mass index,1,4850.21
risk factors,1,4796.6326
weight,1,4580.034
cancer risk,1,4409.1315
prostate,1,4278.8862
colorectal cancer,1,4006.1619
health,1,3991.3063
body mass,1,3983.7362
physical activity,1,3932.8897
men,1,3916.0829
mass index,0,3893.289
factors,0,3860.3445
leptin,1,3829.9571
disease,1,3785.8861
mortality,1,3694.1402
body,1,3596.8531
cells,1,3508.9768
levels,1,3459.918
diabetes,1,3341.5383
insulin,1,3337.7573
study,1,3315.4086
studies,1,3248.6825
age,1,3209.7819
cell,1,3174.5131
activity,1,3145.7858
years,1,3111.6805
type 2 diabetes,1,3100.1915
mice,1,3097.906
diseases,1,3096.5403
expression,1,3088.3941
association,1,3066.5466
metabolic syndrome,1,3039.0324
survival,1,3033.3301
adipose tissue,1,3032.0389
tumor,1,2952.6833
pancreatic cancer,1,2943.3673
group,1,2898.9646
treatment,1,2872.1649
breast cancer risk,0,2858.0079
weight loss,1,2849.4847
diet,1,2829.2496
kg,1,2809.0006
incidence,1,2778.4824
mass,1,2752.6325
insulin resistance,1,2732.7646
surgery,1,2713.3372
index,1,2687.3636
effects,1,2676.9544
type 2,1,2612.5245
colon cancer,1,2584.121
cancers,1,2583.8583
risk factor,1,2580.2824
data,1,2562.2583
adiponectin,1,2558.9101
liver,1,2543.7578
tissue,1,2504.5481
95 confidence interval,0,2469.5799
development,1,2429.072
role,1,2424.1817
intake,1,2422.2344
cancer patients,0,2420.6603
survivors,1,2420.5287
cases,1,2416.4771
colon,1,2408.7265
syndrome,1,2384.6585
m,1,2383.3456
serum,1,2370.7502
analysis,1,2369.3972
growth,1,2331.5973
cardiovascular disease,1,2329.6986
body weight,1,2329.5978
obese patients,0,2323.7461
cancer survivors,0,2292.9258
factor,1,2270.4383
hr,1,2264.5392
use,1,2244.1637
type,1,2240.945
smoking,1,2226.7943
crc,1,2205.9201
loss,1,2198.5853
population,1,2186.6165
n,1,2179.7198
status,1,2170.8787
effect,1,2170.2863
prevalence,1,2168.1979
evidence,1,2151.7311
screening,1,2132.9422
cohort,1,2118.1926
vs,1,2102.9492
diagnosis,1,2091.9295
diabetes mellitus,1,2089.6002
results,1,2060.2253
outcomes,1,2055.4654
receptor,1,2051.2876
rates,0,2047.0892
carcinoma,1,2025.5563
weight gain,1,2019.2268
inflammation,1,2013.6388
confidence interval,1,2005.7912
prevention,1,1986.9022
ratio,1,1977.3918
energy,1,1975.4728
ovarian cancer,1,1973.1241
review,1,1968.2491
therapy,1,1964.9189
complications,1,1962.4039
groups,1,1957.0039
associations,1,1931.7223
protein,1,1902.6612
gene,1,1899.258
research,1,1897.7616
resistance,1,1895.6233
postmenopausal women,0,1886.0082
blood,1,1853.1039
time,1,1849.3492
mechanisms,1,1846.5057
conditions,0,1822.5008
tumors,1,1818.6347
lifestyle,1,1818.4446
subjects,0,1810.3387
control,1,1805.774
risk of breast cancer,0,1796.4099
changes,1,1782.1037
cancer cells,1,1779.0886
overweight,1,1773.9439
consumption,1,1770.0006
history,1,1761.6908
stage,1,1759.9294
controls,0,1756.8085
hypertension,1,1754.5815
relationship,1,1731.5827
food,1,1713.4857
level,1,1705.5694
increase,1,1699.9754
genes,1,1696.7685
metabolism,1,1688.7361
glucose,1,1685.155
number,1,1680.1086
heart disease,1,1677.3208
alcohol,1,1675.972
waist circumference,1,1666.5479
breast cancer patients,0,1662.2642
impact,1,1659.2447
overweight and obesity,1,1659.1897
death,1,1651.4858
follow-up,1,1651.0887
estrogen,1,1648.0784
exercise,1,1640.526
life,1,1639.951
care,1,1637.9974
hcc,1,1630.7536
risk of breast,0,1628.7642
cancer incidence,0,1624.012
progression,1,1622.9141
rate,1,1593.0053
individuals,0,1588.028
